label	script	section	kind	value	figures
lab57 Jan/Apr/Jul/Oct d=1 S_cross	lab57		statistic	0.4279	0.4279
lab57 Jan/Apr/Jul/Oct d=1 pooled	lab57		statistic	49.1%	49.1%
lab57 Jan/Apr/Jul/Oct d=1 pooled interval	lab57		interval	[19, 75]	19 75
lab57 Jan/Apr/Jul/Oct d=2 S_own	lab57		statistic	0.2479	0.2479
lab57 Jan/Apr/Jul/Oct d=2 S_cross	lab57		statistic	0.4429	0.4429
lab57 Jan/Apr/Jul/Oct d=2 pooled	lab57		statistic	64.3%	64.3%
lab57 Jan/Apr/Jul/Oct d=2 pooled interval	lab57		interval	[34, 86]	34 86
lab57 Feb/May/Aug/Nov d=1 S_own	lab57		statistic	0.3206	0.3206
lab57 Feb/May/Aug/Nov d=1 S_cross	lab57		statistic	0.4704	0.4704
lab57 Feb/May/Aug/Nov d=1 pooled	lab57		statistic	58.3%	58.3%
lab57 Feb/May/Aug/Nov d=1 pooled interval	lab57		interval	[35, 79]	35 79
lab57 Feb/May/Aug/Nov d=2 S_own	lab57		statistic	0.2693	0.2693
lab57 Feb/May/Aug/Nov d=2 S_cross	lab57		statistic	0.4657	0.4657
lab57 Feb/May/Aug/Nov d=2 pooled	lab57		statistic	63.7%	63.7%
lab57 Feb/May/Aug/Nov d=2 pooled interval	lab57		interval	[39, 82]	39 82
lab57 Mar/Jun/Sep/Dec d=1 S_own	lab57		statistic	0.3115	0.3115
lab57 Mar/Jun/Sep/Dec d=1 S_cross	lab57		statistic	0.4677	0.4677
lab57 Mar/Jun/Sep/Dec d=1 pooled	lab57		statistic	63.5%	63.5%
lab57 Mar/Jun/Sep/Dec d=1 pooled interval	lab57		interval	[38, 81]	38 81
lab57 Mar/Jun/Sep/Dec d=2 S_own	lab57		statistic	0.2599	0.2599
lab57 Mar/Jun/Sep/Dec d=2 S_cross	lab57		statistic	0.4450	0.4450
lab57 Mar/Jun/Sep/Dec d=2 pooled	lab57		statistic	62.2%	62.2%
lab57 Mar/Jun/Sep/Dec d=2 pooled interval	lab57		interval	[34, 83]	34 83
9.2 quarterly rate		9.2	sentence with figures	the rate is 57% at one quarter of staleness	57%
9.2 quarterly span		9.2	sentence with figures	spanning 49% to 63% across phases	49% 63%
9.2 quarterly breadth		9.2	sentence with figures	positive in 35 of 42 metro-phases	35 42
9.2 de-smoothed cost		9.2	sentence with figures	one month of staleness costs −0.0012 of R	0.0012
9.2 de-smoothed increment		9.2	sentence with figures	still adds +0.1352 of R	+0.1352
S18 mean rho		S18	sentence with figures	averages 0.567 across metros	0.567
9.2 reports the gap rather than the agreement		9.2	sentence with figures	57% is visibly below 67.8%	57% 67.8%
S17 Fisher interval		S17	interval	Fisher interval of [+0.884, +0.996]	+0.884 +0.996
S17 Spearman		S17	sentence with figures	the Spearman rank correlation, which is what the ordering claim actually needs, is +0.976	+0.976
S17 leave-one-out floor		S17	sentence with figures	never falls below +0.976	+0.976
S17 single cluster		S17	sentence with figures	the correlation is +0.903 and the Spearman +0.943	+0.903 +0.943
S17 leverage		S17	sentence with figures	leverage of 0.734 against a mean of 0.250	0.734 0.250
S17 slope shift		S17	sentence with figures	from +1.154 to +1.455	+1.154 +1.455
S17 crossing shift		S17	sentence with figures	from +0.216 to +0.309	+0.216 +0.309
11 coupling caution		11	text	the ordering is robust and the crossing is not	
3 export overlap		3	sentence with figures	overlap by 120 to 251	120 251
12 export overlap		12	sentence with figures	overlap by 120 to 251	120 251
3 joins counted		3	text	which leaves nine joins to be checked	
3 joins overlapping		3	text	Eight of the nine overlap	
4.3 points at the timeline		4.3	sentence with figures	Figure 1 draws the whole arrangement	1
4.4 zero-delay direction		4.4	text	both point in the same negative direction but the natural-scale MSE is too imprecise to establish an effect	
4.4 rests no claim on that row		4.4	text	no economic claim in this paper rests on that row	
1 scopes the housing test		1	text	narrow that extrapolation as far as public data allows	
1 states the index-is-not-a-book limit		1	text	a published index is not a book	
4.2 states the convention once		4.2	text	the equity-result tables in this paper report the target-dated rate and every headline sentence reports the implementable origin-dated one	
Table 2 repeats it where the gap is met			sentence with figures	reads 72% at eleven weeks where the abstract&rsquo;s implementable figure is 71%	72% 71%
S0 states the section count		S0	sentence with figures	Thirty-seven substantive sections, S1 through S37, plus this claim map, is enough	1 37
abstract envelope range			sentence with figures	60.8% to 74.4%	60.8% 74.4%
S3 names the common-penalty remedy		S3	text	imposes a single ridge penalty on both arms, selected on the restricted one	
Table 1 main sample			sentence with figures	same 4,862 test days as Section	4 862
Table 1 stressed sample			sentence with figures	the 1,618 of those days	1 618
Table 1 disclaims the options window			sentence with figures	No row here uses the 4,525-day window of Section	4 525
4.3 window length		4.3	sentence with figures	the window holds 1,500 days	1 500
4.3 window end		4.3	text	c t = t - &delta; - h	
4.3 window set		4.3	sentence with figures	T &delta; (t) = {c t - 1499, &hellip;, c t }	1499
4.3 two-step penalty		4.3	sentence with figures	candidate penalties are fitted on the first 1,250 days	1 250
4.3 final refit		4.3	sentence with figures	refitted on all 1,500	1 500
4.3 says what the tail is held out of		4.3	text	held out of the candidate fits, which is what lets it choose between them, and is not held out of the final model	
Figure 1 caption states the refit			sentence with figures	refitted on all 1,500, so the tail is held out of the selection	1 500
availability names the restriction			text	Every vendor behind the inputs prohibits redistributing their files	
availability names the one exception			text	the FHFA index that FRED places in the public domain	
availability names the three commands			text	python verify_data.py	
availability file count			text	thirty-five input files exactly one	
Table 3 delta=0			sentence with figures	0 0.4502 64.87 64.99 67.87 68.59 104.4	0 0.4502 64.87 64.99 67.87 68.59 104.4
Table 3 delta=1			sentence with figures	1 0.4039 63.23 63.37 66.71 67.44 105.3	1 0.4039 63.23 63.37 66.71 67.44 105.3
Table 3 delta=2			sentence with figures	2 0.3595 61.71 61.86 65.56 66.57 106.0	2 0.3595 61.71 61.86 65.56 66.57 106.0
Table 3 delta=3			sentence with figures	3 0.3179 60.30 60.48 63.26 64.84 104.6	3 0.3179 60.30 60.48 63.26 64.84 104.6
Table 3 delta=5			sentence with figures	5 0.2539 58.17 58.40 60.95 60.95 104.4	5 0.2539 58.17 58.40 60.95 60.95 104.4
Table 3 delta=8			sentence with figures	8 0.1879 56.02 56.33 57.20 57.20 101.5	8 0.1879 56.02 56.33 57.20 57.20 101.5
Table 3 delta=13			sentence with figures	13 0.1712 55.48 55.82 54.90 53.75 98.3	13 0.1712 55.48 55.82 54.90 53.75 98.3
Table 3 delta=21			sentence with figures	21 0.1741 55.57 55.91 50.00 51.87 89.4	21 0.1741 55.57 55.91 50.00 51.87 89.4
Table 3 delta=34			sentence with figures	34 −0.0418 48.67 52.38 49.86 47.84 95.2	34 0.0418 48.67 52.38 49.86 47.84 95.2
Table 3 delta=55			sentence with figures	55 −0.1202 46.17 52.27 44.24 46.25 84.6	55 0.1202 46.17 52.27 44.24 46.25 84.6
Table 3 caption explains the two columns			sentence with figures	where &rho; &lt; 0 it falls below one half, which means the rule is beaten by its own negation and cannot bound anything	0
benchmark is defined by its model			text	the Bayes accuracy implied by the fitted non-centred Gaussian model, maximised over thresholds on the delayed state	
attainable is qualified			text	attainable by the Bayes classifier under that fitted approximation	
attainable is not a bound			text	not a bound on what any forecaster could achieve in the data-generating process	
the column heading names the model			text	Gaussian benchmark, best cut (fitted model)	
headroom is an estimate			text	The estimated headroom is small relative to sampling uncertainty in this sample	
abstract benchmark range			sentence with figures	sit at 85-106% of that restricted-information Gaussian benchmark	85 -106%
abstract exceed count			text	exceeding it at six of ten delays	
Section 5 exceed count			text	exceeds the benchmark at six of the ten delays below	
abstract names the negative-correlation problem			text	the correlation turns negative at the two longest delays, where a same-sign rule is beaten by its own negation	
lab24 d=0 persist-YZ row	lab24		sentence with figures	67.87% 0.735 0.681 n/a n/a	67.87% 0.735 0.681
lab24 d=0 har-YZ row	lab24		sentence with figures	68.59% 0.705 0.674 0.2195 0.6357	68.59% 0.705 0.674 0.2195 0.6357
lab24 d=5 persist-YZ row	lab24		sentence with figures	60.95% 0.660 0.611 n/a n/a	60.95% 0.660 0.611
lab24 d=5 har-YZ row	lab24		sentence with figures	60.95% 0.628 0.598 0.2470 0.6997	60.95% 0.628 0.598 0.2470 0.6997
lab24 d=21 base rate row	lab24		sentence with figures	42.94% 0.336 0.409 0.2513 0.6958	42.94% 0.336 0.409 0.2513 0.6958
lab24 d=21 persist-YZ row	lab24		sentence with figures	50.00% 0.535 0.501 n/a n/a	50.00% 0.535 0.501
lab24 d=21 har-YZ row	lab24		sentence with figures	51.87% 0.508 0.507 0.2849 0.7890	51.87% 0.508 0.507 0.2849 0.7890
lab24 AUC gap at d=0	lab24		interval	the gap is -0.0299 with a block-bootstrap interval of [-0.0590, -0.0026]	-0.0299 -0.0590 -0.0026
lab24 discretising cost	lab24		sentence with figures	by as much as 0.055 of AUC at &delta; = 0	0.055 0
lab24 separation count	lab24		text	they separate at five of ten delays	
lab24 separation list	lab24		sentence with figures	&delta; = 0, 1, 2, 3 and 5	0 1 2 3 5
Table 1 delta=0			point+interval	0 46.83 65.85 [57.3, 73.1] 67.87 [59.1, 73.6] 61.82 [53.0, 68.7] 68.59 [61.5, 73.3]	0 46.83 65.85 57.3 73.1 67.87 59.1 73.6 61.82 53.0 68.7 68.59 61.5 73.3
Table 1 delta=1			point+interval	1 46.83 65.56 [57.8, 72.6] 66.71 [58.9, 72.2] 61.53 [52.7, 68.2] 67.44 [60.1, 72.2]	1 46.83 65.56 57.8 72.6 66.71 58.9 72.2 61.53 52.7 68.2 67.44 60.1 72.2
Table 1 delta=2			point+interval	2 46.83 64.41 [57.1, 70.7] 65.56 [57.5, 71.2] 61.24 [52.4, 68.4] 66.57 [59.7, 72.0]	2 46.83 64.41 57.1 70.7 65.56 57.5 71.2 61.24 52.4 68.4 66.57 59.7 72.0
Table 1 delta=3			point+interval	3 46.83 62.10 [54.3, 68.0] 63.26 [55.2, 68.7] 60.81 [52.3, 67.9] 64.84 [57.3, 70.0]	3 46.83 62.10 54.3 68.0 63.26 55.2 68.7 60.81 52.3 67.9 64.84 57.3 70.0
Table 1 delta=5			point+interval	5 46.83 60.23 [52.6, 66.9] 60.95 [52.9, 66.6] 58.50 [49.7, 66.1] 60.95 [52.6, 67.0]	5 46.83 60.23 52.6 66.9 60.95 52.9 66.6 58.50 49.7 66.1 60.95 52.6 67.0
Table 1 delta=8			point+interval	8 46.83 56.34 [49.3, 63.5] 57.20 [49.1, 63.8] 54.76 [45.1, 62.8] 57.20 [48.3, 64.6]	8 46.83 56.34 49.3 63.5 57.20 49.1 63.8 54.76 45.1 62.8 57.20 48.3 64.6
Table 1 delta=13			point+interval	13 46.83 52.88 [45.7, 60.4] 54.90 [47.0, 61.7] 52.74 [43.4, 61.1] 53.75 [45.2, 60.7]	13 46.83 52.88 45.7 60.4 54.90 47.0 61.7 52.74 43.4 61.1 53.75 45.2 60.7
Table 1 delta=21			point+interval	21 46.83 49.86 [42.1, 57.3] 50.00 [41.9, 57.6] 54.03 [44.5, 62.0] 51.87 [44.2, 58.4]	21 46.83 49.86 42.1 57.3 50.00 41.9 57.6 54.03 44.5 62.0 51.87 44.2 58.4
Table 1 delta=34			point+interval	34 46.83 50.43 [42.7, 56.9] 49.86 [42.5, 58.4] 50.43 [41.2, 57.9] 47.84 [39.8, 55.2]	34 46.83 50.43 42.7 56.9 49.86 42.5 58.4 50.43 41.2 57.9 47.84 39.8 55.2
Table 1 delta=55			point+interval	55 46.83 48.27 [40.3, 55.5] 44.24 [36.6, 51.4] 46.54 [36.2, 54.9] 46.25 [37.2, 53.7]	55 46.83 48.27 40.3 55.5 44.24 36.6 51.4 46.54 36.2 54.9 46.25 37.2 53.7
abstract YZ cell			interval	(+2.0 points at zero delay, 95% CI [-5.0, +8.2])	+2.0 95% -5.0 +8.2
abstract HAR cell			interval	(-4.0 points, [-11.5, +2.5])	-4.0 -11.5 +2.5
4.2 equivalence bound		4.2	sentence with figures	at &delta; = 21, leaves a HAR advantage of up to 12.5 accuracy points unexcluded	21 12.5
4.1 conservative hurdle named		4.1	text	a conservative constant-class hurdle	
4.1 higher hurdle		4.1	sentence with figures	the conservative 53.2% hurdle	53.2%
4.1 threshold rule both hurdles		4.1	sentence with figures	entirely above it through &delta; = 3; against the 46.8% expanding-window rule it does so through &delta; = 8	3 46.8% 8
4.1 crossing is the all-seed one		4.1	text	stated at the last delay that clears in every bootstrap seed	
4.1 knife-edge delays		4.1	sentence with figures	At &delta; = 5 the lower endpoint sits within a quarter of a point of the higher hurdle and clears it in 1 of 20 seeds; at &delta; = 13 it clears the lower hurdle in 18 of 20	5 1 20 13 18 20
4.1 other forecasters		4.1	sentence with figures	persist-CC and har-YZ run through &delta; = 3 against the higher hurdle and &delta; = 8 against the lower	3 8
4.1 har-CC never clears		4.1	sentence with figures	har-CC clears the higher one at no delay firmly, clearing even &delta; = 0 in only 5 of 20 seeds, while clearing the lower through &delta; = 5	0 5 20 5
4.1 all four move		4.1	text	changes the answer for all four	
Table 6 mb10			sentence with figures	mb 10 0 of 10 7 of 10 0, 1, 2, 3, 5, 8, 13 yes	10 0 10 7 10 0 1 2 3 5 8 13
Table 6 sb10			sentence with figures	sb 10 0 of 10 6 of 10 0, 1, 2, 3, 5, 13 yes	10 0 10 6 10 0 1 2 3 5 13
Table 6 mb20			sentence with figures	mb 20 0 of 10 5 of 10 0, 1, 2, 3, 5 yes	20 0 10 5 10 0 1 2 3 5
Table 6 sb20			sentence with figures	sb 20 0 of 10 5 of 10 0, 1, 2, 3, 5 yes	20 0 10 5 10 0 1 2 3 5
Table 6 mb40			sentence with figures	mb 40 0 of 10 5 of 10 0, 1, 2, 3, 5 yes	40 0 10 5 10 0 1 2 3 5
Table 6 sb40			sentence with figures	sb 40 0 of 10 5 of 10 0, 1, 2, 3, 5 yes	40 0 10 5 10 0 1 2 3 5
6.4 count falls with the block		6.4	sentence with figures	It stands at seven of ten delays with a block of 10	10
6.4 reported count		6.4	text	We therefore report five, the count at the block this note uses	
6.4 direction tally		6.4	text	there are thirty-three significant AUC cells and all thirty-three favour the threshold rule	
3.4 block length		3.4	sentence with figures	with block length 8h = 40 and 2,000 resamples	8 40 2 000
lab24 contrast orientation	lab24		text	the HAR classifier minus the threshold rule, so a negative number is the threshold rule ahead	
lab24 direction	lab24		text	in the threshold rule's favour every time	
lab24 Brier deterioration	lab24		sentence with figures	significantly so at &delta; = 34 and 55	34 55
lab25 headline	lab25		text	the HAR classifier significantly beats the threshold rule in none, and the threshold rule significantly beats the HAR classifier in fifteen	
lab25 power caveat	lab25		text	moves that boundary back out from zero to three days	
lab26 q=0.50 row	lab26		sentence with figures	67.45% 67.43%	67.45% 67.43%
lab26 q=0.65 row	lab26		sentence with figures	71.06% 65.37%	71.06% 65.37%
lab26 q=0.75 row	lab26		sentence with figures	77.13% 62.42%	77.13% 62.42%
lab26 q=0.90 row	lab26		sentence with figures	90.11% 55.33%	90.11% 55.33%
lab26 tail ceiling	lab26		sentence with figures	the Bayes rule itself attains 90.11% against a majority-class 90.00%	90.11% 90.00%
lab26 quadrature check	lab26		sentence with figures	largest absolute difference of 1.41e-07	1.41 -07
lab26 objective clash	lab26		text	At fifteen of twenty quantile-delay cells	
